=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:53:44 =~=~=~=~=~=~=~=~=~=~=~=
3464, 0.39, 27.00, 17.52, 0.19, STANDBY, NONE
3474, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3484, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3494, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3504, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3514, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
3524, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
3534, 0.00, 27.00, 17.42, 0.19, STANDBY, NONE
3544, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
3554, 0.39, 27.00, 17.49, 0.19, STANDBY, NONE
3564, 0.00, 26.00, 17.49, 0.19, STANDBY, NONE
3574, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3584, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3594, 0.00, 27.00, 17.52, 0.20, STANDBY, NONE
3604, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3614, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
3624, 0.39, 26.00, 17.44, 0.19, STANDBY, NONE
3634, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3644, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
3654, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3664, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3674, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
3684, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3694, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3704, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
3714, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
3724, 0.00, 27.00, 17.47, 0.19, STANDBY, NONE
3734, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3744, 0.00, 27.00, 17.52, 0.20, STANDBY, NONE
